[2024-06-06T15:04:21.814+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01947%3A_STIF%3AStopPoint%3AQ%3A33707%3A [status:201 duration:0.344s]
[2024-06-06T15:04:22.069+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01494%3A_STIF%3AStopPoint%3AQ%3A33707%3A [status:201 duration:0.250s]
[2024-06-06T15:04:22.521+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01002%3A_STIF%3AStopPoint%3AQ%3A33707%3A [status:201 duration:0.447s]
[2024-06-06T15:04:22.738+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02279%3A_STIF%3AStopPoint%3AQ%3A33707%3A [status:201 duration:0.213s]
[2024-06-06T15:04:23.252+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01033%3A_STIF%3AStopPoint%3AQ%3A18526%3A [status:201 duration:0.509s]
[2024-06-06T15:04:23.518+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00402%3A_STIF%3AStopPoint%3AQ%3A13913%3A [status:201 duration:0.257s]
[2024-06-06T15:04:23.739+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00424%3A_STIF%3AStopPoint%3AQ%3A13913%3A [status:201 duration:0.216s]
[2024-06-06T15:04:23.897+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00782%3A_STIF%3AStopPoint%3AQ%3A8837%3A [status:201 duration:0.153s]
[2024-06-06T15:04:24.081+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00803%3A_STIF%3AStopPoint%3AQ%3A30299%3A [status:201 duration:0.180s]
[2024-06-06T15:04:24.224+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01414%3A_STIF%3AStopPoint%3AQ%3A37143%3A [status:201 duration:0.141s]
